demand,avg_solve_time,avg_all_time,file_count
2,0.00017965845763679003,0.02642532065510745,10
4,0.00027746781706806,0.0353838842362165,10
6,0.0006566662341355798,0.06060604900121684,10
8,0.0014228384941815798,0.08294115029275413,10
10,0.007118105888366649,0.11054829470813272,10
12,0.02497816160321229,0.12922032028436659,10
14,0.03755948580801482,0.1551215603947639,10
16,0.04700179211795325,0.19616128429770469,10
18,0.13029057793319226,0.3316166143864393,10
20,0.8746857285499573,1.506735261157155,10
22,2.884375225007534,5.2104260817170145,10
24,41.35624594278634,56.645709339901806,10
26,207.52724249064923,272.4107694748789,10
30,689.2575664458176,762.8834872953594,3
32,1124.1708318265155,1208.515506176278,4
34,1259.366839485864,1336.2131150998175,3
